# Hand-curated recipes. Columns: result, IDS, optional gloss.
# Any character listed here ignores its dictionary decomposition, so this file
# both fills in atoms the dictionary leaves undecomposed (人, 女, 心 ...) and
# corrects decompositions that collide or read badly. List a character on
# several rows to give it several recipes. Stroke-level recipes approximate
# stroke order and shape; they are game design, not etymology.
#
# Center drops try overlaid/enclosing layouts in order ⿴⿵⿶⿷⿸⿹⿺⿻, so two
# recipes that share strokes but differ in layout are found one after another.

# Stroke shapes
八	⿰丿㇏
人	⿻丿㇏
入	⿻㇏丿
乂	⿴丿㇏
丷	⿰丶丿
⺀	⿰丶丶
冫	⿱丶㇀
氵	⿳丶丶㇀
亠	⿱丶一
冖	⿰丶乛
冂	⿰丨㇆
凵	⿰㇗丨
厂	⿱一丿
匚	⿱一㇗
卜	⿻丨丶
⺊	⿰丨一
十	⿻一丨
丁	⿱一亅
寸	⿻一亅
了	⿱乛亅
刀	⿹㇆丿
力	⿻㇆丿
又	⿻㇇㇏
乃	⿻㇉丿
九	⿻丿乙
几	⿰丿乙
儿	⿰丿乚
匕	⿺乚丿
七	⿻一乚
厶	⿰㇜丶
女	⿻㇛一
弋	⿻一㇂
勹	⿰丿㇆
亻	⿰丿丨
𠂉	⿱丿一
㇙	⿺丨㇀
扌	⿻二亅
纟	⿳㇜㇜㇀
饣	⿱𠂉乚
犭	⿲丿㇁丿
讠	⿱丶㇙
礻	⿳丶㇇丨
尸	⿸㇕丿
辶	⿺乙丶
廴	⿺乙丿
阝	⿰了丨
门	⿰丶㇆
习	⿹㇆冫
马	⿹㇉一
与	⿻㇉一
弓	⿱㇕㇉
己	⿱㇕乚
工	⿳一丨一
川	⿲丿丨丨
巛	⿲㇛㇛㇛
彡	⿳丿丿丿

# Early components and characters
口	⿱冂一
囗	⿴冂一
曰	⿴口一
田	⿴口十
甲	⿻田丨
申	⿻丨田
由	⿱丨田
已	⿻己丨
巳	⿻已丨
土	⿱十一
士	⿱十一
⺌	⿻丨丷
心	⿻㇃⺌
手	⿱丿扌
才	⿻扌丿
牙	⿻才㇗
戈	⿻弋丿
毛	⿻𠂉七
牛	⿱𠂉十
五	⿳一㇕一
水	⿲㇇亅㇏
山	⿶凵丨
屮	⿻凵丨
艸	⿰屮屮
艹	⿻十丨
廾	⿻丿十
个	⿱人丨
竹	⿰个个
帀	⿱一巾
雨	⿵帀⺀
方	⿱亠力
母	⿴㇆⺀
每	⿱𠂉母
也	⿻㇆乚
中	⿻口丨
虫	⿱中㇀
乌	⿻丿马
鸟	⿻乌丶
耳	⿴㇕三
衣	⿻文㇙
衤	⿰礻丶
钅	⿳𠂉二㇙
金	⿻全丷
羊	⿱丷丰
隹	⿻亻主
足	⿱口止
白	⿱丿日
自	⿱丿目
身	⿻自丿
皮	⿻反丨
页	⿱一贝
疒	⿸广冫
气	⿳𠂉一乙
幺	⿱㇜厶
⺈	⿱丿㇇
爫	⿱丿⺀
彳	⿱丿亻
攵	⿱𠂉乂
罒	⿴囗⺀
皿	⿱罒一
舟	⿻丹丿
非	⿰丰丰
青	⿱丰月
⺼	⿵冂二
革	⿱廿中
艮	⿸日乂
尚	⿳⺌冂口
骨	⿳冂冖月
巴	⿺巳丨
乍	⿻𠂉下
扁	⿸户册
册	⿰冂冂
黑	⿱里灬
勿	⿹勹丿
亦	⿱亠小
余	⿱人示
今	⿳人丶㇇
乞	⿱𠂉乙
彐	⿹㇕二
疋	⿱㇕止
单	⿱丷甲
不	⿱一小
𠂇	⿻一丿
有	⿸𠂇月
弔	⿻弓丨
弟	⿱丷弔
吅	⿰口口
我	⿻丿找
朱	⿱丿未
本	⿱木一
于	⿱一丁
卩	⿰㇆丨
令	⿱人卩
用	⿵冂丰
亡	⿱亠㇗
予	⿱乛了
先	⿳𠂉土儿
角	⿱⺈用
斗	⿻⺀十
免	⿱⺈兄
缶	⿱𠂉山
夬	⿻㇕大
匸	⿱一㇗

# Traditional core components (traditional mode has no 马/鸟/页/门/车 to lean on)
馬	⿱丰灬
烏	⿱自灬
鳥	⿻烏丶
頁	⿱一貝
昍	⿰日日
門	⿻冂昍
車	⿻日十
單	⿱吅甲

# More shared atoms
尢	⿻𠂇乚
及	⿸丿又
介	⿱人亻
䒑	⿱丷一
豆	⿳一口䒑
巨	⿷匚彐
